Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
The Trip to Greece	2020-05-18	-38.5	0.0	6.0	1.23	1.1428571428571428	0.7142857142857143	1110.0	-38.5	0.0	1.2857142857142858	52.714285714285715	344.28571428571433	2020-05-25	513.0
The Wretched	2020-05-18	378.3	472.3	110.0	2.38	0.7142857142857143	0.7142857142857143	246813.0	378.3	472.3	31.285714285714285	730.8571428571429	319966.71428571426	2020-05-25	254014.0
How to Build a Girl	2020-05-18	-127.1	-32.30000000000004	75.0	0.49	1.5714285714285714	1.5714285714285714	8929.0	-127.1	-32.30000000000004	3.8571428571428568	177.85714285714286	48072.0	2020-05-25	332.0
First Lady	2020-05-18	0.0	35.7	98.0	0.9523809523809524	0.42857142857142855	0.0	19.0	0.0	35.7	0.14285714285714285	2.7142857142857144	13328.285714285714	2020-05-25	0.0
How to Build a Girl	2020-05-25	93.00000000000004	-659.8	147.0	0.52	3.4285714285714284	3.1428571428571432	332.0	93.00000000000004	-659.8	3.0	15.285714285714285	68852.42857142858	2020-06-01	374.0
The Burnt Orange Heresy	2020-05-25	0.0	0.0	81.0	0.0	0.8571428571428571	0.0	10.0	0.0	0.0	0.14285714285714285	1.4285714285714286	5697.571428571428	2020-06-01	0.0
Max Winslow and the House of Secrets	2020-05-25	19.4	0.0	6.0	0.0	0.8571428571428571	0.5714285714285714	425.0	19.4	0.0	0.42857142857142855	60.714285714285715	117.71428571428572	2020-06-01	2000.0
The Wretched	2020-05-25	112.6	84.0	196.0	3.92	1.0	1.0	254014.0	112.6	84.0	65.85714285714286	523.7142857142857	697051.1428571428	2020-06-01	249791.0
The Gentlemen	2020-05-25	-100.0	0.0	384.0	5.94871794871795	2.142857142857143	1.4285714285714286	15.0	-100.0	0.0	0.42857142857142855	2.142857142857143	15555908.142857146	2020-06-01	608.0
Circles	2020-05-25	0.0	0.0	11.0	5.238095238095238	0.42857142857142855	0.0	246.0	0.0	0.0	0.2857142857142857	17.571428571428573	1117.5714285714287	2020-06-01	0.0
The Trip to Greece	2020-05-25	42.90000000000001	-229.7	49.0	1.23	3.0	3.0	513.0	42.90000000000001	-229.7	3.0	24.142857142857146	1408.7142857142858	2020-06-01	684.0
Strike	2020-05-25	0.0	0.0	60.0	10.582010582010588	0.2857142857142857	0.0	1345.0	0.0	0.0	0.2857142857142857	96.0	1180.142857142857	2020-06-01	0.0
